source,target,type
roee-ozeri,002-ziv-meir,advisor
roee-ozeri,002-ziv-meir,advisor
roee-ozeri,002-ziv-meir,postdoc_advisor
stefan-willitsch,002-ziv-meir,postdoc_advisor
david-m-lucas,003-chris-ballance,advisor
003-chris-ballance,oxford-ionics,affiliated_with
003-chris-ballance,ionq-inc,affiliated_with
nir-davidson,001-roee-ozeri,advisor
david-j-wineland,001-roee-ozeri,postdoc_advisor
001-roee-ozeri,quantum-art,affiliated_with
carl-wieman,004-christopher-monroe,advisor
david-j-wineland,004-christopher-monroe,postdoc_advisor
004-christopher-monroe,ionq-inc,affiliated_with
rainer-blatt,005-christian-roos,advisor
