i001-weizmann-institute-of-science | Weizmann Institute of Science | (31.90785,34.813341) Rehovot | 
i002-aarhus-university | Aarhus University | (56.17055556,10.20111111) Aarhus | 
i003-centre-for-quantum-technologies-national-university-of-singapore | Centre For Quantum Technologies National University Of Singapore | (1.2971,103.7781) Singapore | 
i004-duke-university | Duke University | (36.00138889,-78.93833333) Durham | 
i005-eth-zurich | ETH Zurich | (47.413218,8.537491) Zurich | 
i006-ewha-womans-university | Ewha Womans University | (37.5625,126.945) Seoul | 
i007-georgia-institute-of-technology | Georgia Institute Of Technology | (33.776,-84.396) Atlanta | 
i008-griffith-university | Griffith University | (-27.5526,153.0539) Brisbane | 
i009-imperial-college-london | Imperial College London | (51.4988,-0.1749) London | 
i010-indian-institute-of-science-education-and-research-iiser-pune | IISER Pune | (18.545617,73.807205) Pune | 
i011-institute-for-basic-science-ibs-south-korea | Institute for Basic Science (IBS) | (36.375959,127.385751) Daejeon | 
i012-institute-for-quantum-computing-university-of-waterloo | Institute For Quantum Computing University Of Waterloo | (43.478865,-80.554853) Waterloo | 
i013-ionq-inc | IonQ Inc. | (38.980666,-76.9369189) College Park | 
i014-johannes-gutenberg-university-mainz | Johannes Gutenberg University Mainz | (49.99222222,8.23805556) Mainz | 
i015-kyoto-university | Kyoto University | (35.026212,135.780842) Kyoto | 
i016-mit-lincoln-laboratory | MIT Lincoln Laboratory | (42.457197,-71.266802) Lexington | 
i017-massachusetts-institute-of-technology | Massachusetts Institute Of Technology | (42.3597,-71.0919) Cambridge | 
i018-national-institute-of-information-and-communications-technology-nict | National Institute of Information and Communications Technology (NICT) | (35.70925,139.48777778) Kodaira | 
i019-national-institute-of-standards-and-technology-nist-boulder | NIST Boulder | (39.994658,-105.269181) Boulder | 
i020-national-physical-laboratory-npl | National Physical Laboratory (NPL) | (51.42638889,-0.34361111) Greater London | 
i021-okinawa-institute-of-science-and-technology-oist | Okinawa Institute of Science and Technology (OIST) | (26.46194722,127.83105556) Onna | 
i022-osaka-university | Osaka University | (34.81916667,135.52666667) Suita | 
i023-postech | POSTECH | (36.018079,129.320856) Pohang | 
i024-palacky-university-olomouc | Palacky University Olomouc | (49.59508,17.25914) Olomouc | 
i025-peking-university | Peking University | (39.99,116.30138889) Beijing | 
i026-physikalisch-technische-bundesanstalt-ptb | Physikalisch-Technische Bundesanstalt (PTB) | (52.296503,10.465689) Braunschweig | 
i027-saarland-university | Saarland University | (49.25555556,7.04166667) Saarbrucken | 
i028-sandia-national-laboratories | Sandia National Laboratories | (35.050657,-106.543136) Albuquerque | 
i029-seoul-national-university | Seoul National University | (37.46,126.9525) Seoul | 
i030-simon-fraser-university | Simon Fraser University | (49.2781,-122.9199) Burnaby | 
i031-stellenbosch-university | Stellenbosch University | (-33.93277778,18.86416667) Stellenbosch Local Municipality | 
i032-stockholm-university | Stockholm University | (59.36527778,18.05833333) Stockholm | 
i033-sungkyunkwan-university-skku | Sungkyunkwan University (SKKU) | (37.587046,126.990626) Seoul | 
i034-technion-israel-institute-of-technology | Technion – Israel Institute of Technology | (32.7775,35.02166667) Haifa | 
i035-tsinghua-university | Tsinghua University | (39.999,116.3265) Beijing | 
i036-ulm-university | Ulm University | (48.42152,9.94859) Ulm | 
i037-university-of-amsterdam | University Of Amsterdam | (52.36833333,4.89027778) Amsterdam | 
i038-university-of-basel | University Of Basel | (47.5596,7.5806) Basel | 
i039-university-of-bonn | University Of Bonn | (50.73388889,7.10222222) Bonn | 
i040-university-of-buenos-aires | University Of Buenos Aires | (-34.59972222,-58.37305556) Buenos Aires | 
i041-university-of-calgary | University Of Calgary | (51.0775,-114.13305556) Calgary | 
i042-university-of-california-berkeley | University Of California Berkeley | (37.8719,-122.2583) Berkeley | 
i043-university-of-california-los-angeles | University Of California Los Angeles | (34.0722,-118.4427) Los Angeles | 
i044-university-of-granada | University Of Granada | (37.1882,-3.6067) Granada | 
i045-university-of-groningen | University Of Groningen | (53.21916667,6.56277778) Groningen | 
i046-university-of-innsbruck | University Of Innsbruck | (47.26277778,11.38444444) Innsbruck | 
i047-university-of-kassel | University Of Kassel | (51.322774,9.507562) Kassel | 
i048-university-of-oregon | University Of Oregon | (44.0443,-123.0758) Eugene | 
i049-university-of-oxford | University Of Oxford | (51.755,-1.255) Oxford | 
i050-university-of-siegen | University Of Siegen | (50.90638889,8.02833333) Siegen | 
i051-university-of-sussex | University Of Sussex | (50.86527778,-0.08555556) Brighton | 
i052-university-of-sydney | University Of Sydney | (-33.8875,151.19) Sydney | 
i053-university-of-tokyo | University Of Tokyo | (35.71333333,139.76222222) Tokyo | 
i054-university-of-trento | University Of Trento | (46.0694,11.1211) Trento | 
i055-university-of-washington | University Of Washington | (47.6542,-122.3081) Seattle | 
i056-vu-amsterdam | VU Amsterdam | (52.334054,4.865188) Amsterdam | 
i057-open-quantum-design | Open Quantum Design | (56.1629,10.2039) Aarhus | 
i058-quantum-hub | Quantum Hub | (32.0853,34.7818) Tel Aviv | 
i059-cqiqc | CQIQC | (43.6607,-79.3957) Toronto | 
i060-harvard-university | Harvard University | (42.375395,-71.121891) Cambridge | 250px-Harvard_University_coat_of_arms.svg.png
i061-hebrew-university-of-jerusalem | Hebrew University of Jerusalem | (31.791856,35.244723) Jerusalem | 120px-Hebrew_University_Logo.svg.png
i062-lawrence-berkeley-national-laboratory | Lawrence Berkeley National Laboratory | (37.876959,-122.24563) Berkeley | 250px-Lawrence_Berkeley_National_Laboratory_logo.svg.png
i063-shanghai-qi-zhi-institute | Shanghai Qi Zhi Institute | (31.2304,121.4737) Shanghai | 
i064-ludwig-maximilians-universitat-munchen | Ludwig-Maximilians-Universität München | (48.13743,11.57549) Munich | 250px-LMU_Muenchen_Logo.svg.png
i065-national-institute-of-standards-and-technology | National Institute of Standards and Technology | (39.14344,-77.20137) Gaithersburg | 250px-NIST_logo.svg.png
i066-centre-national-de-la-recherche-scientifique | Centre National de la Recherche Scientifique | (48.85341,2.3488) Paris | 250px-Centre_national_de_la_recherche_scientifique_%28logo%29.svg.png
i067-california-institute-of-technology | California Institute of Technology | (34.14778,-118.14452) Pasadena | 250px-Caltech_Logo.svg.png
i068-joint-institute-for-laboratory-astrophysics | Joint Institute for Laboratory Astrophysics | (40.007519,-105.268738) Boulder | File:Darbhanga
i069-princeton-university | Princeton University | (40.34872,-74.65905) Princeton | 330px-Princeton_logo.svg.png
i070-university-of-chicago | University of Chicago | (41.85003,-87.65005) Chicago | 250px-University_of_Chicago_wordmark.svg.png
i071-university-of-wisconsinmadison | University of Wisconsin–Madison | (43.07305,-89.40123) Madison | 250px-University_of_Wisconsin-Madison_logo.svg.png
i072-university-of-tubingen | University of Tübingen | (48.522659,9.05222) Tübingen | 250px-University_of_T%C3%BCbingen_logo.svg.png
i073-university-of-illinois-urbana-champaign | University of Illinois Urbana-Champaign | (40.11059,-88.20727) Urbana | 250px-University_of_Illinois_seal.svg.png
i074-university-of-strathclyde | University of Strathclyde | (55.86515,-4.25763) Glasgow | 250px-University_of_Strathclyde_Coat_of_Arms.svg.png
i075-austrian-academy-of-sciences | Austrian Academy of Sciences | (48.20849,16.37208) Vienna | 250px-OEAW_Logo.svg.png
i076-university-of-copenhagen | University of Copenhagen | (55.67594,12.56553) Copenhagen | 250px-Ku-ucph-logo-svg.svg.png
i077-joint-center-for-quantum-information-and-computer-science | Joint Center for Quantum Information and Computer Science | (38.991047,-76.942352) College Park | 
i078-universitat-innsbruck | Universität Innsbruck | (47.26266,11.39454) Innsbruck | 250px-Universitaet-innsbruck-logo-rgb-farbe.svg.png
