OK=234 BLOCKED=6 BROKEN=90 OTHER=0
--- BROKEN (404/DNS) ---
005-christian-roos | group_page | 404 | https://www.uibk.ac.at/exphys/qos/people/roos/
007-dietrich-leibfried | google_scholar | 404 | https://scholar.google.com/citations?user=OXvCc1QAAAAJ&hl=en
012-winfried-hensinger | group_page | 404 | https://www.sussex.ac.uk/research/centres/ion-quantum-technology/
014-thomas-monz | google_scholar | 404 | https://scholar.google.com/citations?user=X6a64kUAAAAJ
014-thomas-monz | group_page | 404 | https://www.uibk.ac.at/exphys/scalable-quantum-information/
015-tracy-northup | group_page | 404 | https://www.uibk.ac.at/exphys/quantum-interfaces/
017-rainer-blatt | group_page | 404 | https://www.uibk.ac.at/exphys/qos/
018-michael-drewsen | group_page | 404 | https://phys.au.dk/en/research/research-areas/amo/drewsen-lab
019-michael-koehl | group_page | ERR | https://www.koellab.uni-bonn.de/
020-luming-duan | group_page | 404 | https://iiis.tsinghua.edu.cn/duanluming/
020-luming-duan | tsinghua_profile | 404 | https://iiis.tsinghua.edu.cn/duanlm/
022-rajibul-islam | google_scholar | 404 | https://scholar.google.com/citations?user=dZpP2-sAAAAJ
022-rajibul-islam | group_page | 404 | https://uwaterloo.ca/ion-trap-quantum-computing/
022-rajibul-islam | iqc_profile | 404 | https://uwaterloo.ca/institute-for-quantum-computing/profiles/rajibul-islam
023-crystal-senko | google_scholar | 404 | https://scholar.google.com/citations?user=c_E97UoAAAAJ
023-crystal-senko | group_page | 404 | https://uwaterloo.ca/trapped-ion-quantum-control-lab/
024-paul-haljan | sfu_profile | 404 | https://www.sfu.ca/physics/people/faculty/haljan.html
025-christian-schmiegelow | group_page | 404 | https://df.uba.ar/en/research/cold-ions-and-atoms-lab
027-lukas-slodicka | homepage | 404 | https://www.opticsolomouc.org/people/lukas-slodicka/
029-christof-wunderlich | google_scholar | 404 | https://scholar.google.com/citations?user=5Wz0VTEAAAAJ
030-rene-gerritsma | google_scholar | 404 | https://scholar.google.com/citations?user=uGeNcfAAAAAJ
030-rene-gerritsma | group_page | ERR | https://hyqs.nl/
032-murray-barrett | google_scholar | 404 | https://scholar.google.com/citations?user=xPKjx_UAAAAJ
033-dzmitry-matsukevich | google_scholar | 404 | https://scholar.google.com/citations?user=yDbgjnIAAAAJ
033-dzmitry-matsukevich | homepage | ERR | https://cqt.nus.edu.sg/people/principal-investigators/dzmitry-matsukevich/
034-manas-mukherjee | google_scholar | 404 | https://scholar.google.com/citations?user=VJE3z6IAAAAJ
034-manas-mukherjee | group_page | 404 | https://coldiongroup.wixsite.com/cqt-nus
035-stefan-willitsch | google_scholar | 404 | https://scholar.google.com/citations?user=51D_dOIAAAAJ
035-stefan-willitsch | group_page | ERR | https://willitsch.chemie.unibas.ch/
037-david-lucas | google_scholar | 404 | https://scholar.google.com/citations?user=pREa_vkAAAAJ
038-eric-hudson | google_scholar | 404 | https://scholar.google.com/citations?user=TvhzuKYAAAAJ
038-eric-hudson | group_page | ERR | https://www.physics.ucla.edu/~hudson/
039-wes-campbell | google_scholar | 404 | https://scholar.google.com/citations?user=JU1-giAAAAAJ
039-wes-campbell | group_page | ERR | https://campbellgroup.physics.ucla.edu/
041-isaac-chuang | google_scholar | 404 | https://scholar.google.com/citations?user=xsNy6jcAAAAJ
041-isaac-chuang | group_page | ERR | https://quanta.mit.edu/
042-kenneth-brown | google_scholar | 404 | https://scholar.google.com/citations?user=5RFsz9IAAAAJ
042-kenneth-brown | group_page | 404 | https://sites.duke.edu/brownlab/
043-kilian-singer | group_page | 404 | https://www.uni-kassel.de/fb10/institute/physik/forschungsgruppen/experimentalphysik-i-licht-materie-wechselwirkung.html
044-johannes-hecker-denschlag | group_page | 404 | https://www.uni-ulm.de/en/nawi/quantum-matter/
045-kazuhiro-hayasaka | group_page | 404 | https://www2.nict.go.jp/stsi/sr22/en/index.html
045-kazuhiro-hayasaka | homepage | 404 | https://www.nict.go.jp/en/info/researcher/003444/
047-klaus-jungmann | group_page | 404 | https://www.rug.nl/research/vsi/research/ions/
048-hermann-uys | group_page | 404 | https://www.csir.co.za/quantum-optics
050-rachel-godun | google_scholar | 404 | https://scholar.google.com/citations?user=TkWO3PgAAAAJ
051-john-chiaverini | google_scholar | 404 | https://scholar.google.com/citations?user=JvXj6gUAAAAJ
052-dan-stick | google_scholar | 404 | https://scholar.google.com/citations?user=wSjXz60AAAAJ
052-dan-stick | group_page | 404 | https://www.sandia.gov/quantum/research-groups/ion-trapping/
054-hiroki-takahashi | google_scholar | 404 | https://scholar.google.com/citations?user=3Jk6zRIAAAAJ
055-takashi-mukaiyama | group_page | ERR | https://www.phys.titech.ac.jp/lab/mukaiyama/
055-takashi-mukaiyama | homepage | ERR | https://www.phys.titech.ac.jp/lab/mukaiyama/
056-kenji-toyoda | google_scholar | 404 | https://scholar.google.com/citations?user=8YgPz2UAAAAJ
056-kenji-toyoda | group_page | ERR | https://www-toyoda.Kv-lab.org/
056-kenji-toyoda | homepage | ERR | https://www-toyoda.Kv-lab.org/
057-utako-tanaka | group_page | ERR | https://www-tanaka.Kv-lab.org/
057-utako-tanaka | homepage | ERR | https://www-tanaka.Kv-lab.org/
058-atsushi-noguchi | google_scholar | 404 | https://scholar.google.com/citations?user=XqgH5oAAAAAJ
058-atsushi-noguchi | group_page | ERR | https://sqei.cF.u-tokyo.ac.jp/
058-atsushi-noguchi | homepage | ERR | https://sqei.cF.u-tokyo.ac.jp/
059-shuichi-hasegawa | group_page | ERR | https://www.nuclear.jp/~hasegawa/index_e.html
060-moonjoo-lee | google_scholar | 404 | https://scholar.google.com/citations?user=y_N5m5UAAAAJ
061-taeyoung-choi | google_scholar | 404 | https://scholar.google.com/citations?user=7Jk6zRIAAAAJ
061-taeyoung-choi | group_page | ERR | http://qion.ewha.ac.kr/
062-dan-cho | google_scholar | 404 | https://scholar.google.com/citations?user=3XqgH5oAAAAJ
062-dan-cho | group_page | ERR | http://nems.snu.ac.kr/
062-dan-cho | homepage | ERR | http://nems.snu.ac.kr/
063-taehyun-kim | google_scholar | 404 | https://scholar.google.com/citations?user=9_5WtHeAAAAJ
063-taehyun-kim | group_page | ERR | http://qis.snu.ac.kr/
064-junki-kim | google_scholar | 404 | https://scholar.google.com/citations?user=2YgPz2UAAAAJ
064-junki-kim | group_page | ERR | https://queti.skku.edu/
064-junki-kim | homepage | ERR | https://queti.skku.edu/
065-luyan-sun | google_scholar | 404 | https://scholar.google.com/citations?user=4Jk6zRIAAAAJ
065-luyan-sun | group_page | ERR | http://hqs.iiis.tsinghua.edu.cn/
066-wenhui-li | google_scholar | 404 | https://scholar.google.com/citations?user=G4581-AAAAAJ
067-mirko-lobino | google_scholar | 404 | https://scholar.google.com/citations?user=5XqgH5oAAAAJ
068-paul-barclay | google_scholar | 404 | https://scholar.google.com/citations?user=6YgPz2UAAAAJ
069-sadiq-rangwala | group_page | ERR | https://www.rri.res.in/~sarangwala/
070-markus-hennrich | google_scholar | 404 | https://scholar.google.com/citations?user=8XqgH5oAAAAJ
070-markus-hennrich | group_page | 404 | https://www.fysik.su.se/hennrich-group
071-matthias-keller | google_scholar | 404 | https://scholar.google.com/citations?user=G_R_X2IAAAAJ
072-brian-mcmahon | google_scholar | 404 | https://scholar.google.com/citations?user=yXqgH5oAAAAJ
072-brian-mcmahon | group_page | ERR | https://gtri.gatech.edu/researcher/brian-mcmahon
073-david-hume | google_scholar | 404 | https://scholar.google.com/citations?user=zXqgH5oAAAAJ
073-david-hume | group_page | 404 | https://www.nist.gov/people/david-b-hume
074-piet-schmidt | google_scholar | 404 | https://scholar.google.com/citations?user=AXqgH5oAAAAJ
075-boris-blinov | google_scholar | 404 | https://scholar.google.com/citations?user=BXqgH5oAAAAJ
076-tilman-esslinger | google_scholar | 404 | https://scholar.google.com/citations?user=CXqgH5oAAAAJ
077-ben-lanyon | google_scholar | 404 | https://scholar.google.com/citations?user=DXqgH5oAAAAJ
077-ben-lanyon | group_page | 404 | https://www.uibk.ac.at/exphys/distributed-quantum-systems/
079-daniel-rodriguez | ugr_profile | 404 | https://trapsensor.ugr.es/pages/iones/presentation?lang=en
--- OTHER ---
